index site,latitude,longitude,pays,couleur,capacite offshore,scores,capacites
287,39.0,17.0,Italie,#ffe5ad,Non,0.0015148361742422444,1621.9318830329885
288,38.0,13.0,Italie,#ffe5ad,Non,0.002392290138230777,2561.4199836512503
289,38.0,14.0,Italie,#ffe5ad,Non,0.002066373305522203,2212.461521227688
290,38.0,15.0,Italie,#ffe5ad,Non,0.001640395470521333,1756.367955599125
291,38.0,16.0,Italie,#ffe5ad,Non,0.001354244570390861,1449.9867929546804
292,37.0,14.0,Italie,#ffe5ad,Non,0.0027378262173144013,2931.3847316110628
293,37.0,15.0,Italie,#ffe5ad,Non,0.001806306623786887,1934.0086759673081
294,38.0,12.0,Italie,#ffe5ad,Non,0.002066373305522203,2212.461521227688
296,37.0,12.0,Italie,#ffe5ad,Non,0.0027378262173144013,2931.3847316110628
297,40.0,17.0,Italie,#ffe5ad,Non,0.00208625884184834,2233.752922850511
300,41.0,9.0,Italie,#ffe5ad,Non,0.002832352847858219,3032.5941947078823
301,40.0,9.0,Italie,#ffe5ad,Non,0.0028071320103807028,3005.59029744352
302,39.0,9.0,Italie,#ffe5ad,Non,0.002783002542959993,2979.754927787239
303,41.0,8.0,Italie,#ffe5ad,Non,0.002392290138230777,2561.4199836512503
308,50.0,6.0,Luxembourg,#21c36f,Non,0.0013038414440892175,1864.0
311,71.0,25.0,Norvège,#c69f59,Non,0.004690635176944424,331.42485750906053
312,71.0,26.0,Norvège,#c69f59,Non,0.0030947283213180483,218.66332686956707
313,71.0,27.0,Norvège,#c69f59,Non,0.0024265126453136936,171.44940447935267
314,71.0,28.0,Norvège,#c69f59,Non,0.003094728321318051,218.6633268695673
315,71.0,29.0,Norvège,#c69f59,Non,0.004690635176944433,331.4248575090612
319,70.0,20.0,Norvège,#c69f59,Non,0.004553923803111754,321.76528137850414
320,70.0,21.0,Norvège,#c69f59,Non,0.003004529855552593,212.29019987585247
321,70.0,22.0,Norvège,#c69f59,Non,0.002392290138230777,169.03135466185503
322,70.0,23.0,Norvège,#c69f59,Non,0.002392290138230777,169.03135466185503
